NOM;ZC706;;FMC-DAC;DAC3484
D0P;FMC_LPC_LA24_P;;H28;163
D0N;FMC_LPC_LA24_N;;H29;165
D1P;FMC_LPC_LA21_P;;H25;157
D1N;FMC_LPC_LA21_N;;H26;159
D2P;FMC_LPC_LA19_P;;H22;151
D2N;FMC_LPC_LA19_N;;H23;153
D3P;FMC_LPC_LA15_P;;H19;145
D3N;FMC_LPC_LA15_N;;H20;147
D4P;FMC_LPC_LA11_P;;H16;139
D4N;FMC_LPC_LA11_N;;H17;141
D5P;FMC_LPC_LA07_P;;H13;133
D5N;FMC_LPC_LA07_N;;H14;135
D6P;FMC_LPC_LA04_P;;H10;127
D6N;FMC_LPC_LA04_N;;H11;129
D7P;FMC_LPC_LA02_P;;H7;121
D7N;FMC_LPC_LA02_N;;H8;123
D8P;FMC_LPC_LA33_P;;G36;109
D8N;FMC_LPC_LA33_N;;G37;111
D9P;FMC_LPC_LA31_P;;G33;103
D9N;FMC_LPC_LA31_N;;G34;105
D10P;FMC_LPC_LA29_P;;G30;97
D10N;FMC_LPC_LA29_N;;G31;99
D11P;FMC_LPC_LA25_P;;G27;91
D11N;FMC_LPC_LA25_N;;G28;93
D12P;FMC_LPC_LA22_P;;G24;85
D12N;FMC_LPC_LA22_N;;G25;87
D13P;FMC_LPC_LA20_P;;G21;79
D13N;FMC_LPC_LA20_N;;G22;81
D14P;FMC_LPC_LA16_P;;G18;73
D14N;FMC_LPC_LA16_N;;G19;75
D15P;FMC_LPC_LA12_P;;G15;67
D15N;FMC_LPC_LA12_N;;G16;69
SYNCP;FMC_LPC_LA30_P;;H34;175
SYNCN;FMC_LPC_LA30_N;;H35;177
PARITYP;FMC_LPC_LA28_P;;H31;170
PARITYN;FMC_LPC_LA28_N;;H32;172
FRAMEP;FMC_LPC_LA32_P;;H37;156
FRAMEN;FMC_LPC_LA32_N;;H38;158
DATACLKP;FMC_LPC_CLK0_M2C_P;;H4;95
DATACLKN;FMC_LPC_CLK0_M2C_N;;H5;97
